,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det),MSE (ml)
0,stego_1.png,0.187533465,0.308622181,0.198857022,0.231670889,0.066881849,0.098870455,0.14737108,0.017337223,0.002244019
1,stego_10.png,0.276810957,0.031835226,0.245463633,0.184703272,0.133312203,0.156424717,0.033522266,0.007174644,0.004419289
2,stego_100.png,0.076086427,0.030337774,0.156664809,0.087696337,0.063958756,0.045557757,0.044149952,0.00015138,0.003119228
3,stego_1000.png,0.112573453,0.344027692,0.206999306,0.221200151,0.116378753,0.164424356,0.06794812,0.014689476,0.001027323
4,stego_10000.png,0.267161301,0.353082912,0.260055718,0.293433311,0.051780098,0.22204726,0.091761424,0.037416446,6.79E-05
5,stego_10001.png,0.132672322,0.086498726,0.064551063,0.094574037,0.034771173,0.055460983,0.041409675,2.94E-05,0.003432826
6,stego_10002.png,0.118333571,0.150841087,0.163507456,0.144227371,0.023301843,0.052474218,0.096834466,0.00195606,1.00E-05
7,stego_10003.png,0.108953814,0.083282401,0.115026621,0.102420945,0.016850301,0.040022649,0.064999759,5.86E-06,0.001225017
8,stego_10004.png,0.206676558,0.170531615,0.180291225,0.185833133,0.018698898,0.074925232,0.119890743,0.007367327,0.000395642
9,stego_10005.png,0.199239921,0.239954298,0.222701353,0.220631857,0.02043593,0.163624014,0.068160545,0.014552045,0.001013751
10,stego_10006.png,0.134732603,0.233026356,0.185254933,0.184337964,0.049153292,0.129261439,0.063252654,0.007112892,0.001350367
11,stego_10007.png,0.091123237,0.106941054,0.102537441,0.100200577,0.008163733,0.016795434,0.084829898,4.02E-08,0.000230132
12,stego_10008.png,0.101030322,0.105249078,0.076574536,0.094284645,0.015481778,0.014665906,0.0808038,3.27E-05,0.000368494
13,stego_10009.png,0.061103805,0.143192985,0.04433341,0.082876733,0.052904151,0.026202967,0.058198747,0.000293206,0.001747345
14,stego_1001.png,0.061606073,0.119169357,0.086289682,0.089021704,0.028878727,0.023341494,0.067249924,0.000120523,0.001072567
15,stego_10010.png,0.183980804,0.151725344,0.161765803,0.165823984,0.01650622,0.020357983,0.148488937,0.004332797,0.002351177
16,stego_10011.png,0.197798653,0.141292668,0.128383177,0.155824833,0.036919032,0.068915151,0.093342387,0.003116412,4.43E-05
17,stego_10012.png,0.120090025,0.147608155,0.118530147,0.128742776,0.016356504,0.015217036,0.11527996,0.000826147,0.000233477
18,stego_10013.png,0.208613497,0.223802989,0.235782851,0.222733112,0.013616238,0.134071174,0.102389406,0.015063417,5.71E-06
19,stego_10014.png,0.102356512,0.107145195,0.115202573,0.10823476,0.006491971,0.042204669,0.068939667,6.78E-05,0.000964744
20,stego_10015.png,0.120762721,0.09732883,0.097762855,0.105284802,0.013406028,0.018978731,0.08797574,2.79E-05,0.000144583
21,stego_10016.png,0.14145315,0.21751588,0.102753006,0.153907345,0.058386296,0.055643872,0.104053408,0.002906002,1.64E-05
22,stego_10017.png,0.151935336,0.142010421,0.157399783,0.150448513,0.007801673,0.032918144,0.121530943,0.002545052,0.000463581
23,stego_10018.png,0.178105422,0.064311788,0.125714033,0.122710414,0.056956247,0.052865447,0.073743447,0.000515763,0.000689407
24,stego_10019.png,0.119182619,0.126553702,0.106800579,0.1175123,0.009981931,0.064041806,0.057129148,0.000306681,0.00183791
25,stego_1002.png,0.082931536,0.104597624,0.091761189,0.093096783,0.010894618,0.00710327,0.086608718,4.77E-05,0.000179326
26,stego_10020.png,0.093311354,0.123269004,0.085525849,0.100702069,0.019927455,0.020353378,0.082018036,4.93E-07,0.000323351
27,stego_10021.png,0.130880085,0.117561725,0.102428271,0.116956694,0.014235553,0.025423473,0.093921019,0.000287529,3.70E-05
28,stego_10022.png,0.131570765,0.186121638,0.133860291,0.150517565,0.030855276,0.021681113,0.131691674,0.002552024,0.001004362
