,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det) MSE (ml),
0,stego_1.png,0.216074882,0.370264681,0.324454291,0.303597952,0.079182471,0.098870455,0.227189862,0.010732536,0.000739289
1,stego_10.png,0.295134901,0.055140159,0.246419653,0.198898238,0.126858515,0.156424717,0.050349413,1.21E-06,0.022395298
2,stego_100.png,0.137965635,0.109465392,0.238365852,0.161932293,0.067709916,0.045557757,0.121929364,0.00144915,0.006095024
3,stego_1000.png,0.155796498,0.349434312,0.26162397,0.25561826,0.096958507,0.164424356,0.109139017,0.003093391,0.008255718
4,stego_10000.png,0.327279246,0.422969873,0.309136576,0.353128565,0.061160816,0.22204726,0.168495203,0.023448357,0.000992552
5,stego_10001.png,0.156402573,0.125527932,0.172737136,0.151555881,0.023974884,0.055460983,0.101737351,0.002346833,0.009655548
6,stego_10002.png,0.190584235,0.206220955,0.234002451,0.210269214,0.021990377,0.052474218,0.166533723,0.000105457,0.001119992
7,stego_10003.png,0.160066842,0.114639497,0.199219711,0.15797535,0.042328878,0.040022649,0.122870296,0.001766071,0.005948991
8,stego_10004.png,0.271209697,0.221105766,0.262621576,0.25164568,0.026794658,0.074925232,0.191033692,0.002667276,8.04E-05
9,stego_10005.png,0.259041151,0.300510761,0.284728745,0.281426886,0.02093105,0.163624014,0.14084918,0.006630338,0.00349882
10,stego_10006.png,0.159160159,0.270162015,0.256695802,0.228672659,0.060574957,0.129261439,0.11416885,0.000822121,0.007366986
11,stego_10007.png,0.122919163,0.145428181,0.169173665,0.145840337,0.023130005,0.016795434,0.131249291,0.002933269,0.00472666
12,stego_10008.png,0.140018135,0.139965864,0.12751176,0.135831919,0.007205517,0.014665906,0.122969472,0.004117543,0.005933702
13,stego_10009.png,0.143202888,0.173225643,0.133237124,0.149888551,0.020815715,0.026202967,0.127013721,0.002511157,0.005326997
14,stego_1001.png,0.130746055,0.184089404,0.155706924,0.156847461,0.026689958,0.023341494,0.136696672,0.001862142,0.004007311
15,stego_10010.png,0.272818401,0.26528614,0.286248304,0.274784282,0.010618455,0.020357983,0.259713542,0.005592689,0.003565707
16,stego_10011.png,0.299014865,0.266759379,0.275195548,0.280323264,0.016727946,0.068915151,0.22705569,0.006451827,0.00073201
17,stego_10012.png,0.246094912,0.268962459,0.241236783,0.252098051,0.014805625,0.015217036,0.240541341,0.002714207,0.0016436
18,stego_10013.png,0.268957945,0.247918953,0.283927665,0.266934854,0.018089403,0.134071174,0.153434874,0.004480275,0.002168311
19,stego_10014.png,0.210683371,0.1754415,0.195184357,0.193769743,0.017663472,0.042204669,0.158243697,3.88E-05,0.001743589
20,stego_10015.png,0.20103628,0.221833701,0.209815766,0.210895249,0.010440649,0.018978731,0.195629314,0.000118706,1.91E-05
21,stego_10016.png,0.213509178,0.299915884,0.158998128,0.224141063,0.071057943,0.055643872,0.178425476,0.000582791,0.00046546
22,stego_10017.png,0.236351373,0.204665843,0.251769471,0.230928896,0.02401542,0.032918144,0.204750767,0.000956597,2.26E-05
23,stego_10018.png,0.266076712,0.102696432,0.191273778,0.186682307,0.081786858,0.052865447,0.141286008,0.000177361,0.003447333
24,stego_10019.png,0.17037541,0.165899888,0.166581454,0.167618917,0.002411394,0.064041806,0.110664249,0.001048535,0.007980876
25,stego_1002.png,0.161971453,0.176857864,0.180171181,0.173000166,0.009693756,0.00710327,0.167083737,0.000728991,0.00108348
26,stego_10020.png,0.197305272,0.215814867,0.200773668,0.204631269,0.009839314,0.020353378,0.188106493,2.14E-05,0.000141456
27,stego_10021.png,0.150437266,0.169478117,0.188501919,0.169472434,0.019032327,0.025423473,0.147806721,0.000931932,0.002724138
28,stego_10022.png,0.225247864,0.304615149,0.237749572,0.255870862,0.042674083,0.021681113,0.239379768,0.003121553,0.001550766
29,stego_10023.png,0.422516927,0.372085354,0.387264298,0.393955526,0.025873061,0.079406431,0.341680744,0.037618746,0.020073433
30,stego_10024.png,0.264699377,0.289018335,0.270864433,0.274860715,0.012642414,0.074804058,0.216231663,0.005604127,0.000263467
31,stego_10025.png,0.209931052,0.179382086,0.050836289,0.146716476,0.084427884,0.038712599,0.112353368,0.002839134,0.007681932
32,stego_10026.png,0.277159295,0.359287846,0.348799015,0.328415385,0.044697808,0.042515337,0.298594912,0.016490511,0.009720957
33,stego_10027.png,0.301838246,0.283188422,0.256428568,0.280485079,0.022825222,0.064239959,0.231090355,0.006477848,0.00096661
34,stego_10028.png,0.432368267,0.493017684,0.425543156,0.450309702,0.037143294,0.051485995,0.420472134,0.062654947,0.048607962
35,stego_10029.png,0.105224788,0.107972133,0.128078847,0.113758589,0.012477553,0.020912689,0.09482903,0.007437581,0.011060933
36,stego_1003.png,0.196317482,0.225419427,0.229393382,0.21704343,0.018058842,0.010824468,0.2084756,0.000290479,7.18E-05
37,stego_10030.png,0.112165945,0.16162093,0.124575818,0.132787564,0.025729817,0.009489994,0.124478874,0.004517512,0.00570344
38,stego_10031.png,0.269257318,0.224973448,0.175372046,0.223200937,0.046967728,0.101737538,0.135220389,0.000538283,0.004196398
39,stego_10032.png,0.356983968,0.177763385,0.269085872,0.267944408,0.089615744,0.182917488,0.104061608,0.004616443,0.009204175
40,stego_10033.png,0.24081593,0.158588517,0.264277109,0.221227185,0.05550053,0.085244244,0.148654917,0.000450593,0.002636318
41,stego_10034.png,0.217161922,0.181956195,0.240603046,0.213240388,0.029519436,0.06783283,0.155988714,0.000175308,0.001936993
42,stego_10035.png,0.202130068,0.16619949,0.168759138,0.179029565,0.020046517,0.020741254,0.161640947,0.000439759,0.001471417
43,stego_10036.png,0.174695392,0.181916787,0.118557481,0.158389887,0.034684327,0.04108662,0.122329367,0.001731402,0.006032727
44,stego_10037.png,0.059129484,0.117694438,0.252089236,0.142971053,0.098932032,0.04814152,0.099625664,0.003252301,0.010075007
45,stego_10038.png,0.200613999,0.202688199,0.188195064,0.197165754,0.007837763,0.042602985,0.161440621,8.03E-06,0.001486826
46,stego_10039.png,0.256632905,0.258687005,0.245496426,0.253605445,0.007097322,0.029934094,0.230573356,0.002873544,0.00093473
47,stego_1004.png,0.344213348,0.329383836,0.303150317,0.325582501,0.020793767,0.053062552,0.287790866,0.015770964,0.007707236
48,stego_10040.png,0.156412146,0.165267302,0.148734474,0.156804641,0.008273399,0.0065756,0.151223426,0.001865839,0.002379154
