,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det),MSE (ml)
0,stego_1.png,0.198659128,0.340968461,0.224681708,0.254769766,0.075775689,0.098870455,0.173004327,0.010976704,0.000529199
1,stego_10.png,0.286493614,0.043837738,0.253330942,0.194554098,0.131573198,0.156424717,0.045199737,0.001985068,0.010983095
2,stego_100.png,0.108757891,0.081695312,0.206228024,0.132227076,0.065499626,0.045557757,0.090806248,0.000315877,0.0035039
3,stego_1000.png,0.123999517,0.351064972,0.236495814,0.237186767,0.113534304,0.164424356,0.08708058,0.007601532,0.003958853
4,stego_10000.png,0.28982608,0.392660778,0.282406734,0.321631197,0.061625179,0.22204726,0.128007695,0.029457268,0.000483661
5,stego_10001.png,0.14085107,0.086428627,0.067009628,0.098096442,0.038278493,0.055460983,0.045138907,0.002693979,0.010995849
6,stego_10002.png,0.160815614,0.179767003,0.207086221,0.182556279,0.023261069,0.052474218,0.137286039,0.001059911,0.000161645
7,stego_10003.png,0.132633932,0.092657049,0.145656669,0.123649217,0.02761854,0.040022649,0.087113063,0.000694364,0.003954767
8,stego_10004.png,0.240151556,0.213288456,0.202574422,0.218671478,0.019358279,0.074925232,0.155388787,0.004715772,2.90E-05
9,stego_10005.png,0.229464593,0.268508111,0.25526087,0.251077858,0.019855031,0.163624014,0.104562835,0.010216733,0.002064536
10,stego_10006.png,0.147054065,0.247527305,0.21330837,0.202629913,0.051080721,0.129261439,0.08426005,0.002769908,0.004321741
11,stego_10007.png,0.108980892,0.128948054,0.128379946,0.122102964,0.011367598,0.016795434,0.107106429,0.000778245,0.001839858
12,stego_10008.png,0.12603468,0.125312907,0.107392737,0.119580108,0.010560741,0.014665906,0.106475765,0.00092537,0.001894359
13,stego_10009.png,0.093679498,0.152529967,0.08980844,0.112005968,0.035148145,0.026202967,0.088111792,0.001443546,0.00383015
14,stego_1001.png,0.099483304,0.145949273,0.117798079,0.121076885,0.023405865,0.023341494,0.100071203,0.000836547,0.002492885
15,stego_10010.png,0.239078114,0.209828843,0.232524378,0.227143778,0.015349042,0.020357983,0.21108302,0.005951163,0.003731135
16,stego_10011.png,0.258760602,0.220800836,0.19220165,0.223921029,0.033388999,0.068915151,0.166478789,0.005464319,0.00027155
