,image_name,red,green,blue,ml0,stdev
0,cover_1.png,0.048315334,0.215650569,0.032645462,0.098870455,0.101437579
1,cover_10.png,0.241362915,0.021164473,0.206746764,0.156424717,0.118410598
2,cover_100.png,0.03023965,0.027711604,0.078722017,0.045557757,0.028748893
3,cover_1000.png,0.043396564,0.284120625,0.16575588,0.164424356,0.120367554
4,cover_10000.png,0.201220825,0.274626862,0.190294092,0.22204726,0.04586185
5,cover_10001.png,0.061407028,0.055129581,0.049846341,0.055460983,0.005787464
6,cover_10002.png,0.028961355,0.045176742,0.083284559,0.052474218,0.027887139
7,cover_10003.png,0.043005554,0.052280266,0.024782127,0.040022649,0.013989646
8,cover_10004.png,0.09243755,0.055298521,0.077039624,0.074925232,0.018659578
9,cover_10005.png,0.143151292,0.178373094,0.169347657,0.163624014,0.018295188
10,cover_10006.png,0.077281966,0.179402464,0.131099888,0.129261439,0.051085066
11,cover_10007.png,0.009956109,0.018250374,0.022179818,0.016795434,0.006240385
12,cover_10008.png,0.017125215,0.026540086,0.000332417,0.014665906,0.013275791
13,cover_10009.png,0.006692069,0.066778019,0.005138812,0.026202967,0.035147607
14,cover_1001.png,0.011790092,0.057441083,0.000793305,0.023341494,0.030038623
15,cover_10010.png,0.033679592,0.007046104,0.020348252,0.020357983,0.013316747
16,cover_10011.png,0.114261882,0.059306173,0.033177397,0.068915151,0.041387471
17,cover_10012.png,0.002964744,0.032879723,0.00980664,0.015217036,0.015674208
18,cover_10013.png,0.117674645,0.136082162,0.148456716,0.134071174,0.015489255
19,cover_10014.png,0.068837391,0.039864602,0.017912016,0.042204669,0.025543206
20,cover_10015.png,0.033148371,0.003644225,0.020143596,0.018978731,0.014786526
21,cover_10016.png,0.021989422,0.135004978,0.009937215,0.055643872,0.068992411
22,cover_10017.png,0.026720556,0.035405371,0.036628505,0.032918144,0.005401998
23,cover_10018.png,0.07905111,0.026717117,0.052828115,0.052865447,0.026167016
24,cover_10019.png,0.067616548,0.071880489,0.05262838,0.064041806,0.010111628
25,cover_1002.png,0.003636291,0.01699952,0.000673999,0.00710327,0.008697449
26,cover_10020.png,0.014925854,0.024313097,0.021821182,0.020353378,0.004862707
27,cover_10021.png,0.01719487,0.050507225,0.008568323,0.025423473,0.022147241
28,cover_10022.png,0.012071217,0.034511233,0.018460888,0.021681113,0.0115614
29,cover_10023.png,0.14406067,0.046199898,0.047958724,0.079406431,0.055999119
30,cover_10024.png,0.069572629,0.094475402,0.060364143,0.074804058,0.017647107
31,cover_10025.png,0.018389386,0.044804248,0.052944164,0.038712599,0.018064864
32,cover_10026.png,0.0029757,0.054128658,0.070441654,0.042515337,0.035200364
33,cover_10027.png,0.105726108,0.032699297,0.054294472,0.064239959,0.037515508
34,cover_10028.png,0.029663398,0.085525216,0.039269373,0.051485995,0.029867542
35,cover_10029.png,0.024624788,0.028709825,0.009403453,0.020912689,0.010174417
36,cover_1003.png,0.023230718,0.004172621,0.005070064,0.010824468,0.010753494
37,cover_10030.png,0.0142989,0.008519686,0.005651396,0.009489994,0.004404651
38,cover_10031.png,0.148311843,0.054140805,0.102759965,0.101737538,0.047093844
39,cover_10032.png,0.311804877,0.079045596,0.157901992,0.182917488,0.11837885
40,cover_10033.png,0.060494178,0.033704102,0.161534452,0.085244244,0.067413455
41,cover_10034.png,0.071349581,0.034266334,0.097882575,0.06783283,0.031953594
42,cover_10035.png,0.03489168,0.007160665,0.020171416,0.020741254,0.013874287
43,cover_10036.png,0.058793524,0.046099343,0.018366992,0.04108662,0.020674179
44,cover_10037.png,0.014200527,0.016826488,0.113397546,0.04814152,0.056528626
45,cover_10038.png,0.021852175,0.069474746,0.036482034,0.042602985,0.024394197
46,cover_10039.png,0.025177412,0.026485482,0.038139387,0.029934094,0.007136028
47,cover_1004.png,0.044240316,0.075029771,0.03991757,0.053062552,0.019146554
48,cover_10040.png,0.007434671,0.003427124,0.008865006,0.0065756,0.00281889
49,cover_10041.png,0.073052198,0.019533413,0.033932801,0.042172804,0.027694554
50,cover_10042.png,0.002914313,0.042727012,0.01850378,0.021381702,0.020061769
51,cover_10043.png,0.153008204,0.169404959,0.142185109,0.15486609,0.013704703
52,cover_10044.png,0.022246002,0.013442098,0.069526352,0.035071484,0.030161741
53,cover_10045.png,0.080383431,0.126859296,0.10422999,0.103824239,0.023240589
54,cover_10046.png,0.196265914,0.305122057,0.302372374,0.267920115,0.062069587
55,cover_10047.png,0.072313328,0.002389858,0.011340396,0.028681194,0.038050629
56,cover_10048.png,0.023210758,0.017702382,0.015823406,0.018912182,0.003839395
57,cover_10049.png,0.012370546,0.061628891,0.01166376,0.028554399,0.02864553
58,cover_1005.png,0.003296564,0.064845961,0.028572943,0.03223849,0.03093799
59,cover_10050.png,0.028942357,0.007081764,0.024096188,0.020040103,0.011480865
60,cover_10051.png,0.06409617,0.006091343,0.039814156,0.036667223,0.02913018
61,cover_10052.png,0.225664248,0.170052139,0.08115685,0.158957746,0.072889719
62,cover_10053.png,0.012731425,0.137562669,0.255046961,0.135113685,0.12117633
63,cover_10054.png,0.01683942,0.029472648,0.001447016,0.015919695,0.014035435
64,cover_10055.png,0.024691666,0.089929122,0.037068539,0.050563109,0.034649083
65,cover_10056.png,0.023075023,0.038117648,0.026458288,0.029216986,0.007891638
66,cover_10057.png,0.051439946,0.04367242,0.13568828,0.076933549,0.051031093
67,cover_10058.png,0.067609418,0.084967021,0.111988264,0.088188234,0.022364093
68,cover_10059.png,0.040596048,0.112364665,0.037654087,0.063538267,0.04231048
69,cover_1006.png,0.194869253,0.043377894,0.067284426,0.101843858,0.081444298
70,cover_10060.png,0.021918817,0.04466322,0.070163268,0.045581768,0.024135338
71,cover_10061.png,0.070036446,0.02011334,0.025015503,0.03838843,0.027517367
72,cover_10062.png,0.02641799,0.006163182,0.023997485,0.018859553,0.011061785
73,cover_10063.png,0.033343171,0.021818732,0.006591364,0.020584422,0.013418549
74,cover_10064.png,0.057142668,0.054638125,0.037948497,0.049909763,0.01043418
75,cover_10065.png,0.210295624,0.178747901,0.203789222,0.197610916,0.016656629
76,cover_10066.png,0.039665823,0.031919608,0.049306331,0.040297254,0.008710543
77,cover_10067.png,0.070015634,0.077384117,0.098624581,0.082008111,0.014854425
78,cover_10068.png,0.128381938,0.111298971,0.099019595,0.112900168,0.014746514
79,cover_10069.png,0.049949994,0.036359237,0.043188909,0.043166047,0.006795408
80,cover_1007.png,0.025171851,0.049856624,0.018006041,0.031011505,0.016709012
