,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
0,stego_1.png,0.0718938,0.222614395,0.241671336,0.17872651,0.091207715,0.096302309,0.000825212,0.002883442,0.093009208
1,stego_10.png,0.240175751,0.153424622,0.166912078,0.186837484,0.078209154,0.117844878,0.001357,0.001033952,0.046681966
2,stego_100.png,0.035702661,0.095131445,0.088140248,0.072991451,0.054408993,0.019651686,0.005930317,0.016990683,0.032481681
3,stego_1000.png,0.095573284,0.316369432,0.233994247,0.215312321,0.138704558,0.088944814,0.004265699,0.003727736,0.111577307
4,stego_10000.png,0.140213955,0.175289806,0.229091713,0.181531825,0.09794712,0.092660538,0.000994256,0.003287814,0.044766461
5,stego_10001.png,0.220729598,0.127495373,0.087138295,0.145121089,0.076722782,0.074082091,2.38038E-05,0.005763529,0.068517578
6,stego_10002.png,0.155693369,0.183106948,0.186004639,0.174934985,0.05531451,0.126624656,0.000621753,0.000546407,0.016726596
7,stego_10003.png,0.12235882,0.059267511,0.121956644,0.101194325,0.013461939,0.08892955,0.002381994,0.0037296,0.036310243
8,stego_10004.png,0.252075213,0.199909089,0.236382707,0.22945567,0.064231589,0.176565141,0.006313203,0.000705707,0.026764043
9,stego_10005.png,0.184355079,0.229760937,0.219613291,0.211243102,0.116308576,0.107429498,0.003750718,0.001812248,0.02383208
10,stego_10006.png,0.148609732,0.198794637,0.189887328,0.179097233,0.079193876,0.108495539,0.000846649,0.00172262,0.026775937
11,stego_10007.png,0.152942746,0.112656185,0.108222351,0.124607094,0.015791651,0.11056139,0.0006448,0.001555404,0.02463933
12,stego_10008.png,0.1217299,0.12643804,0.098044155,0.115404032,0.016038024,0.100985618,0.001196881,0.00240241,0.015217281
13,stego_10009.png,0.057441258,0.178879323,0.145014761,0.12711178,0.064858769,0.066570705,0.000523871,0.006960447,0.062667284
14,stego_1001.png,0.105965063,0.098775904,0.115722209,0.106821059,0.009885465,0.097903415,0.001864421,0.002714054,0.008505519
15,stego_10010.png,0.245803309,0.137456244,0.275362402,0.219540652,0.049786159,0.178648727,0.004835902,0.00082075,0.072607317
16,stego_10011.png,0.118605582,0.249914177,0.246808292,0.20510935,0.047123015,0.165799298,0.00303704,0.000249618,0.074930555
17,stego_10012.png,0.167909451,0.158954842,0.177567248,0.168143847,0.00509816,0.163881179,0.000329199,0.000192687,0.009308417
18,stego_10013.png,0.223656304,0.205251298,0.208211768,0.212373124,0.105956478,0.119028485,0.003890407,0.000959235,0.009883002
19,stego_10014.png,0.234727395,0.136106009,0.149405457,0.173412953,0.074877637,0.106510576,0.000548166,0.00189133,0.053514618
20,stego_10015.png,0.156430554,0.0997905,0.135952712,0.130724589,0.021107169,0.111981022,0.000371541,0.001445443,0.028679677
21,stego_10016.png,0.139282397,0.177374543,0.191598797,0.169418579,0.036694459,0.137779878,0.000377081,0.000149331,0.027050406
