index,image_name,Red,Green,Blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
6130,stego_15515.png,0.197966708,0.226936971,0.176220969,0.200374883,0.061696061,0.147797335,1.41E-07,0.002725118,0.025443618
6131,stego_15516.png,0.202205169,0.187350656,0.100013463,0.163189763,0.121718499,0.047218647,0.001354994,0.023342142,0.055214108
6132,stego_15517.png,0.318003791,0.303907034,0.287532168,0.303147665,0.029357085,0.282071373,0.010639441,0.00673571,0.015249998
6133,stego_15518.png,0.141402528,0.087355128,0.186062958,0.138273538,0.061248455,0.082050553,0.003810156,0.013912072,0.04942825
6134,stego_15519.png,0.193959065,0.255770373,0.16662728,0.205452239,0.114497219,0.10271568,2.97E-05,0.009464239,0.045669383
6135,stego_1552.png,0.174931988,0.279676249,0.248211686,0.234273308,0.093113085,0.155653611,0.00117466,0.001966602,0.053745222
6136,stego_15520.png,0.149010708,0.165778356,0.1497255,0.154838188,0.033473085,0.12556826,0.002039589,0.005540084,0.009481202
6137,stego_15521.png,0.073075532,0.299282195,0.422522303,0.26496001,0.209883177,0.069707202,0.004219803,0.016976213,0.177233661
6138,stego_15522.png,0.331968758,0.309737072,0.334393704,0.325366511,0.123947369,0.229916714,0.015716762,0.00089501,0.013589688
6139,stego_15523.png,0.139412309,0.356722023,0.006344638,0.16749299,0.086848488,0.088314481,0.001056706,0.012473655,0.176868515
6140,stego_15524.png,0.144793939,0.142995408,0.14262594,0.143471762,0.0795804,0.069415473,0.003195442,0.017052319,0.001159845
6141,stego_15525.png,0.180839424,0.192763822,0.176731983,0.183445076,0.024164253,0.163225034,0.000274066,0.001352398,0.008327487
6142,stego_15526.png,0.199593199,0.178002018,0.158323222,0.17863948,0.036854397,0.147210435,0.000456272,0.002786738,0.020642372
6143,stego_15527.png,0.187655848,0.157219623,0.141556048,0.162143839,0.002885115,0.159719533,0.001433089,0.001622516,0.023441071
6144,stego_15528.png,0.27176548,0.101281691,0.194273784,0.189106985,0.05512732,0.141796528,0.000118658,0.003387644,0.085359255
6145,stego_15529.png,0.163154116,0.026743733,0.26780319,0.152567013,0.142962267,0.011206911,0.002249888,0.03564283,0.120877957
6146,stego_1553.png,0.184308941,0.178899898,0.148207706,0.170472182,0.029221845,0.145502179,0.000871892,0.002970012,0.019470352
6147,stego_15530.png,0.255733261,0.294419905,0.188577719,0.246243628,0.081946464,0.178962509,0.002138473,0.000442576,0.05355541
6148,stego_15531.png,0.278771021,0.162323062,0.111785264,0.184293115,0.067686882,0.125071964,0.000246706,0.005614211,0.085633365
6149,stego_15532.png,0.289600537,0.200654527,0.293505273,0.261253445,0.04626519,0.225417226,0.003751985,0.000646035,0.052516506
6150,stego_15533.png,0.141319685,0.306335687,0.313491966,0.253715779,0.101187135,0.169700112,0.002885385,0.000918083,0.097403617
6151,stego_15534.png,0.335444656,0.30148188,0.319357732,0.318761423,0.045699111,0.286138591,0.014104276,0.007419857,0.016989239
6152,stego_15535.png,0.237137954,0.207217898,0.348501716,0.264285856,0.057958375,0.219021618,0.004132671,0.000361822,0.074451566
6153,stego_15536.png,0.209436167,0.259863424,0.166002943,0.211767511,0.079593732,0.143603736,0.000138474,0.003180539,0.046973651
6154,stego_15537.png,0.288017414,0.183505919,0.271777294,0.247766875,0.084772276,0.178091851,0.002281674,0.000479967,0.056240895
6155,stego_15538.png,0.168633392,0.218395431,0.218246841,0.201758554,0.024553689,0.181665421,3.09E-06,0.000336157,0.028687329
6156,stego_15539.png,0.152382618,0.103148368,0.160241796,0.138590927,0.034325124,0.107971954,0.003771074,0.008469161,0.030944675
6157,stego_1554.png,0.157228855,0.156854583,0.14478428,0.152955906,0.005495631,0.14827514,0.002213147,0.002675461,0.00707931
6158,stego_15540.png,0.047355247,0.147601184,0.217867631,0.137608021,0.077167741,0.065494329,0.003892759,0.018091775,0.085694316
6159,stego_15541.png,0.121370173,0.063437864,0.123969669,0.102925902,0.019735574,0.084865191,0.009423381,0.013256024,0.034222335
6160,stego_15542.png,0.096143138,0.108151368,0.123148923,0.10914781,0.013335763,0.097107044,0.00825412,0.01058696,0.013530439
6161,stego_15543.png,0.224932807,0.186813473,0.220187723,0.210644668,0.081697647,0.140418916,0.000113309,0.003549906,0.020774343
6162,stego_15544.png,0.416501736,0.435030079,0.45258086,0.434704225,0.316443475,0.173008004,0.055086073,0.000728568,0.018041769
6163,stego_15545.png,0.136765376,0.127869702,0.14642407,0.137019716,0.009571413,0.128679952,0.003966516,0.005086549,0.009279798
6164,stego_15546.png,0.315736394,0.367898333,0.322729712,0.335454813,0.077150833,0.279898373,0.018348006,0.00638375,0.028313656
6165,stego_15547.png,0.288616749,0.189173351,0.206751193,0.228180431,0.071777772,0.168496998,0.000794137,0.000992439,0.053072182
6166,stego_15548.png,0.137170699,0.171724075,0.1697887,0.159561158,0.035593777,0.128542701,0.0016353,0.005106146,0.019414837
6167,stego_15549.png,0.168021274,0.053865661,0.096072936,0.105986624,0.015237762,0.092153069,0.008838515,0.011630961,0.0577199
6168,stego_1555.png,0.155930278,0.171584802,0.184154842,0.170556641,0.016119662,0.156967238,0.000866911,0.001851819,0.014140344
6169,stego_15550.png,0.104461954,0.193162645,0.127884407,0.141836335,0.049506786,0.097138567,0.003383012,0.010580474,0.045966786
