,image_name,"red, green, blue, total"
0,stego_12112.png,"(0.7667310175876764, 1.2740542494552225, 0.7856092578760863, 0.9421315083063284)"
1,stego_5602.png,"(2.2711174456049354, 0.6779538728136177, 0.6977858740110087, 1.2156190641431872)"
2,stego_9747.png,"(0.6926275837824296, 0.6698905544976921, 0.7055414617605275, 0.6893532000135497)"
