,image_name,ml0,stdev,,,,
0,cover1.png,0.091207715,0.055603809,,,,
1,cover10.png,0.078209154,,,,,
2,cover100.png,0.054408993,,,,,
3,cover1000.png,0.138704558,,,,,
4,cover10000.png,0.09794712,,,,,
5,cover10001.png,0.076722782,,,,,
6,cover10002.png,0.05531451,,,,,
7,cover10003.png,0.013461939,,,,,
8,cover10004.png,0.064231589,,,,,
9,cover10005.png,0.116308576,,,,,
10,cover10006.png,0.079193876,,,,,
11,cover10007.png,0.015791651,,,,,
12,cover10008.png,0.016038024,,,,,
13,cover10009.png,0.064858769,,,,,
14,cover1001.png,0.009885465,,,,,
15,cover10010.png,0.049786159,,,,,
16,cover10011.png,0.047123015,,,,,
17,cover10012.png,0.00509816,,,,,
18,cover10013.png,0.105956478,,,,,
19,cover10014.png,0.074877637,,,,,
20,cover10015.png,0.021107169,,,,,
21,cover10016.png,0.036694459,,,,,
22,cover10017.png,0.036924795,,,,,
23,cover10018.png,0.05011845,,,,,
24,cover10019.png,0.035126741,,,,,
25,cover1002.png,0.012976813,,,,,
26,cover10020.png,0.02185659,,,,,
27,cover10021.png,0.052779711,,,,,
28,cover10022.png,0.023880344,,,,,
29,cover10023.png,0.088837771,,,,,
30,cover10024.png,0.02301208,,,,,
31,cover10025.png,0.068823901,,,,,
32,cover10026.png,0.027551561,,,,,
33,cover10027.png,0.073692101,,,,,
34,cover10028.png,0.059220657,,,,,
35,cover10029.png,0.049903522,,,,,
36,cover1003.png,0.026006004,,,,,
37,cover10030.png,0.023177316,,,,,
38,cover10031.png,0.07112713,,,,,
39,cover10032.png,0.146303618,,,,,
40,cover10033.png,0.135419244,,,,,
41,cover10034.png,0.024235363,,,,,
42,cover10035.png,0.029959138,,,,,
43,cover10036.png,0.021626445,,,,,
44,cover10037.png,0.041380015,,,,,
45,cover10038.png,0.041850535,,,,,
46,cover10039.png,0.048571239,,,,,
47,cover1004.png,0.038430091,,,,,
48,cover10040.png,0.022382758,,,,,
49,cover10041.png,0.049898905,,,,,
50,cover10042.png,0.041779261,,,,,
