,image_name,"red, green, blue, total"
0,stego_12112.png,"(0.7634607689562485, 1.2743367895759259, 0.7912407393959543, 0.9430127659760429)"
1,stego_5602.png,"(2.2262348262138745, 0.6377599874546408, 0.6934474340982508, 1.185814082588922)"
2,stego_9747.png,"(0.7097569032988658, 0.6798152275601679, 0.7120135839295985, 0.7005285715962106)"
