,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
0,stego_1.png,0.16989163,0.251656794,0.379267241,0.266938555,0.091207715,0.193367443,0.000286915,0.003207247,0.105521021
1,stego_10.png,0.429664874,0.10361915,0.143185236,0.225489753,0.078209154,0.159776591,0.000600752,0.008140264,0.177924081
2,stego_100.png,0.18890262,0.240584028,0.186892308,0.205459652,0.054408993,0.159742064,0.001983843,0.008146495,0.030435205
3,stego_1000.png,0.179546386,0.348376534,0.272061438,0.266661453,0.138704558,0.148563302,0.000277604,0.010289404,0.084544513
4,stego_10000.png,0.254196645,0.253974244,0.299542113,0.269237667,0.09794712,0.189889696,0.000370088,0.003613249,0.026244655
5,stego_10001.png,0.213166061,0.240315538,0.179540731,0.211007443,0.076722782,0.14544349,0.00152042,0.010932064,0.030444852
6,stego_10002.png,0.20913049,0.219306974,0.246705753,0.225047739,0.05531451,0.17967168,0.000622615,0.004946073,0.019434309
7,stego_10003.png,0.178728325,0.108053254,0.199669799,0.16215046,0.013461939,0.15071747,0.007717542,0.009857021,0.048005386
8,stego_10004.png,0.302241138,0.318402147,0.308790321,0.309811202,0.064231589,0.262436314,0.00357738,0.000154662,0.008128727
9,stego_10005.png,0.259412449,0.287226873,0.289064102,0.278567808,0.116308576,0.183615262,0.00081612,0.004406933,0.016614442
10,stego_10006.png,0.21027907,0.280951646,0.265903606,0.252378108,0.079193876,0.188078932,5.66E-06,0.003834219,0.037227108
11,stego_10007.png,0.187379651,0.171727296,0.145139526,0.168082158,0.015791651,0.154734013,0.006710533,0.009075608,0.021354679
12,stego_10008.png,0.187439618,0.171908866,0.146736226,0.168694903,0.016038024,0.1551451,0.006610519,0.008997452,0.020541146
13,stego_10009.png,0.199478423,0.206563679,0.16590017,0.190647424,0.064858769,0.134513003,0.003522728,0.013337247,0.021722572
14,stego_1001.png,0.181806142,0.124994612,0.185443898,0.164081551,0.009885465,0.155735605,0.00738198,0.008885776,0.033899114
15,stego_10010.png,0.352218662,0.275346455,0.341598403,0.323054507,0.049786159,0.287586158,0.005336961,0.001412719,0.041656225
16,stego_10011.png,0.189163706,0.359243011,0.317338699,0.288581805,0.047123015,0.25339975,0.001488556,1.16E-05,0.088611296
17,stego_10012.png,0.26036668,0.286488725,0.278259316,0.27503824,0.00509816,0.27132333,0.000626913,0.000454684,0.013355591
18,stego_10013.png,0.254387162,0.25369137,0.240211891,0.249430141,0.105956478,0.160477269,3.25E-07,0.008014319,0.007990815
19,stego_10014.png,0.211403323,0.15860473,0.215671252,0.195226435,0.074877637,0.1300896,0.003000143,0.014378504,0.031787038
20,stego_10015.png,0.288582132,0.22458086,0.254967527,0.256043507,0.021107169,0.240002103,3.65E-05,1.00E-04,0.0320142
21,stego_10016.png,0.195258735,0.251863527,0.251419952,0.232847405,0.036694459,0.20362485,0.000294212,0.002150655,0.032553498
22,stego_10017.png,0.230618155,0.18289743,0.260354061,0.224623215,0.036924795,0.194894873,0.000643981,0.003036575,0.03907476
