,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev
0,stego_1.png,0.035017784,0.163398532,0.3103752,0.169597172,0.091207715,0.086256737,0.004843766,0.000188877,0.137783323
1,stego_10.png,0.183966582,0.164594591,0.154342093,0.167634422,0.078209154,0.097012536,0.004574415,8.92E-06,0.015044368
2,stego_100.png,0.014423838,0.071909447,0.004381628,0.030238304,0.054408993,-0.025561462,0.004866694,0.015765681,0.036435897
3,stego_1000.png,0.11238322,0.295777382,0.215872659,0.208011087,0.138704558,0.080467776,0.011666395,0.000381508,0.091949486
4,stego_10000.png,0.117365336,0.206023637,0.185780815,0.169723263,0.09794712,0.079569773,0.004861333,0.000417394,0.046459201
5,stego_10001.png,0.192142877,0.112955604,0.086003812,0.130367431,0.076722782,0.058102429,0.000922181,0.001755406,0.055170228
6,stego_10002.png,0.099153178,0.152981568,0.157433032,0.136522593,0.05531451,0.085963089,0.0013339,0.000197035,0.032439309
7,stego_10003.png,0.079675679,0.036150358,0.087176264,0.067667433,0.013461939,0.054945162,0.001045395,0.002029938,0.02755103
8,stego_10004.png,0.178616492,0.144665759,0.208714533,0.177332262,0.064231589,0.120863957,0.005980279,0.000435305,0.032043694
9,stego_10005.png,0.151968814,0.196224176,0.187251247,0.178481412,0.116308576,0.070355821,0.006159332,0.000878777,0.023394802
10,stego_10006.png,0.110212946,0.175750848,0.158463081,0.148142292,0.079193876,0.07487832,0.00231768,0.000631099,0.033966059
11,stego_10007.png,0.12305985,0.081760431,0.085196417,0.096672233,0.015791651,0.082178313,1.11E-05,0.000317613,0.022916834
12,stego_10008.png,0.085812618,0.088374423,0.053459721,0.075882254,0.016038024,0.060819657,0.000581666,0.001535099,0.019460683
13,stego_10009.png,0.017973443,0.177905981,0.096236246,0.09737189,0.064858769,0.03476814,6.91E-06,0.004255196,0.079972317
14,stego_1001.png,0.071985587,0.059854249,0.081130175,0.070990004,0.009885465,0.061714617,0.00084158,0.001465771,0.010672846
15,stego_10010.png,0.140596023,0.088886738,0.203528628,0.14433713,0.049786159,0.09950494,0.001965781,2.45E-07,0.057412435
16,stego_10011.png,0.043310444,0.181901746,0.183955102,0.136389097,0.047123015,0.093680594,0.001324166,3.99E-05,0.080615016
17,stego_10012.png,0.111003004,0.103223574,0.111488888,0.108571822,0.00509816,0.10400389,7.35E-05,1.60E-05,0.004638086
18,stego_10013.png,0.179322235,0.179936443,0.167082295,0.175446991,0.105956478,0.077726096,0.005692248,0.000496127,0.007250546
19,stego_10014.png,0.182027567,0.136771403,0.095071963,0.137956978,0.074877637,0.068184862,0.001440732,0.001012203,0.043489924
20,stego_10015.png,0.10817678,0.060796956,0.077359622,0.082111119,0.021107169,0.062319335,0.000320012,0.001419833,0.024044635
21,stego_10016.png,0.108166866,0.142523221,0.151010439,0.133900175,0.036694459,0.100908499,0.001149222,8.25E-07,0.022686133
22,stego_10017.png,0.131904728,0.063896856,0.16290878,0.119570121,0.036924795,0.08581399,0.00038299,0.000201243,0.050645307
23,stego_10018.png,0.028000815,0.073987212,0.043393723,0.048460583,0.05011845,-0.001745341,0.002656312,0.010352114,0.023408161
24,stego_10019.png,0.099968564,0.060215619,0.090187829,0.083457337,0.035126741,0.050090098,0.00027366,0.002490998,0.020713493
25,stego_1002.png,0.079963835,0.108997318,0.085857678,0.091606277,0.012976813,0.079663239,7.05E-05,0.000413584,0.01534668
26,stego_10020.png,0.079630608,0.125194665,0.063123806,0.089316359,0.02185659,0.068967156,0.00011414,0.000963037,0.032149
27,stego_10021.png,0.139316602,0.064194517,0.186720098,0.130077072,0.052779711,0.081604419,0.00090463,0.000338397,0.061783138
28,stego_10022.png,0.12103407,0.170155642,0.10962434,0.133604684,0.023880344,0.112408698,0.001129275,0.000153976,0.032164031
29,stego_10023.png,0.271855672,0.213383479,0.271376205,0.252205119,0.088837771,0.179295566,0.023166398,0.006287787,0.033621381
30,stego_10024.png,0.14097313,0.079785522,0.104957213,0.108571955,0.02301208,0.087575162,7.35E-05,0.000154377,0.030753546
31,stego_10025.png,0.109131976,0.10331057,0.095929761,0.102790769,0.068823901,0.036477384,7.79E-06,0.004035123,0.006616439
32,stego_10026.png,0.11368671,0.211415986,0.14935262,0.158151772,0.027551561,0.134300397,0.003381629,0.001176517,0.049455249
33,stego_10027.png,0.206750243,0.149305834,0.106281549,0.154112542,0.073692101,0.086818261,0.002928167,0.000173758,0.050406527
34,stego_10028.png,0.263972409,0.240039773,0.373469572,0.292493918,0.059220657,0.247957465,0.037053908,0.021891411,0.071140601
35,stego_10029.png,0.084392571,0.186462619,0.123997622,0.131617604,0.049903522,0.086006089,0.000999673,0.00019583,0.051459904
36,stego_1003.png,0.146868894,0.158531788,0.168394917,0.157931866,0.026006004,0.135448332,0.003356101,0.001256584,0.010775544
37,stego_10030.png,0.077585303,0.060976684,0.046161928,0.061574638,0.023177316,0.039308385,0.001476508,0.003683472,0.015720219
38,stego_10031.png,0.151232391,0.16876476,0.029991657,0.116662936,0.07112713,0.049022646,0.000277653,0.002598691,0.075569696
39,stego_10032.png,0.388787954,0.117993796,0.294160063,0.266980604,0.146303618,0.141358202,0.027882522,0.001710501,0.13742784
