,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det),MSE (ml)
0,stego_1.png,0.076126092,0.416604691,0.308114274,0.266948352,0.173932154,0.167399835,0.119563413,0.013676917,0.000926386
1,stego_10.png,0.249058091,0.113211682,0.154669894,0.172313222,0.069620593,0.099046961,0.081320844,0.00049788,0.004716826
2,stego_100.png,0.275627127,0.143966253,0.11430571,0.177966363,0.08586708,0.05051718,0.13423011,0.000782117,0.000248689
3,stego_1000.png,0.116936709,0.3609105,0.223328643,0.233725284,0.122318724,0.155792936,0.092314257,0.007009923,0.003327645
4,stego_10000.png,0.281698986,0.323775169,0.307078848,0.304184334,0.021186905,0.200043815,0.130182779,0.023772809,0.000392722
5,stego_10001.png,0.107315817,0.074634093,0.102075183,0.094675031,0.017552648,0.038554781,0.058370721,0.003060852,0.008395925
6,stego_10002.png,0.154453349,0.184437569,0.184960506,0.174617141,0.017464314,0.050157758,0.131031636,0.000606004,0.000359799
7,stego_10003.png,0.133474436,0.087922219,0.11641967,0.112605442,0.023014395,0.01698973,0.097268274,0.001398353,0.002780635
8,stego_10004.png,0.336060017,0.179480789,0.19651974,0.237353516,0.08590583,0.089206398,0.162657178,0.007630637,0.000160204
9,stego_10005.png,0.221853043,0.237380926,0.204383457,0.221205808,0.016508253,0.154705879,0.078670758,0.005070267,0.005087861
10,stego_10006.png,0.173571726,0.343385489,0.16734809,0.228101769,0.099887114,0.132152288,0.110560274,0.006099886,0.001555492
11,stego_10007.png,0.12636218,0.144316721,0.106749545,0.125809482,0.018789685,0.011068118,0.116025548,0.000585181,0.001154263
12,stego_10008.png,0.146957788,0.143786732,0.081901889,0.12421547,0.036678921,0.019529769,0.106770912,0.000664842,0.001868754
13,stego_10009.png,0.195894967,0.159936582,0.159576961,0.171802837,0.020865172,0.10036908,0.079403403,0.000475364,0.004983879
14,stego_1001.png,0.136032303,0.216715079,0.152009841,0.168252407,0.042723452,0.045823675,0.12830829,0.00033315,0.00047053
15,stego_10010.png,0.216967118,0.238586324,0.14340173,0.199651724,0.049898837,0.033011589,0.172328989,0.002465294,0.000498584
16,stego_10011.png,0.215885788,0.225184229,0.21390852,0.218326179,0.006020966,0.0454145,0.181137969,0.004668467,0.000969573
17,stego_10012.png,0.147620963,0.173591755,0.155617334,0.15894335,0.013301026,0.024855151,0.13750593,8.00E-05,0.000156102
18,stego_10013.png,0.161693525,0.21573092,0.241447579,0.206290675,0.04070646,0.122135378,0.095863639,0.00316864,0.002930746
19,stego_10014.png,0.167473061,0.059067365,0.178290615,0.13494368,0.065933044,0.05998964,0.079737462,0.000226693,0.004936824
20,stego_10015.png,0.168844605,0.14642661,0.154551015,0.15660741,0.01134959,0.008487828,0.149387558,4.37E-05,3.75E-07
21,stego_10016.png,0.140780939,0.198982779,0.184050454,0.174604724,0.030228793,0.029890587,0.149173006,0.000605392,6.84E-07
22,stego_10017.png,0.159979509,0.163780585,0.127496627,0.150418907,0.019942047,0.034696772,0.119881641,1.75E-07,0.000907116
23,stego_10018.png,0.216526889,0.148362716,0.106754251,0.157214618,0.055419086,0.048277342,0.114463258,5.21E-05,0.00126286
24,stego_10019.png,0.15440363,0.142012918,0.146654785,0.147690444,0.006259943,0.054241581,0.098808386,5.33E-06,0.002620581
25,stego_1002.png,0.147007185,0.142695113,0.12226546,0.137322586,0.013216893,0.01839722,0.121154268,0.000160717,0.000832076
26,stego_10020.png,0.174585232,0.207816221,0.178604074,0.187001843,0.018137435,0.035196917,0.157342911,0.001369136,5.39E-05
27,stego_10021.png,0.209317521,0.120115007,0.085628715,0.138353748,0.063829609,0.0175541,0.122958066,0.000135635,0.000731266
28,stego_10022.png,0.229712968,0.207320484,0.201272252,0.212768568,0.01498265,0.042484969,0.177839087,0.003939893,0.000775015
29,stego_10023.png,0.288473916,0.270659388,0.250779171,0.269970825,0.018856803,0.069837477,0.215159548,0.014392999,0.004245767
30,stego_10024.png,0.25398266,0.214382061,0.250483213,0.239615978,0.021923149,0.082506786,0.171237443,0.008031023,0.000451029
31,stego_10025.png,0.203846511,0.227637307,0.178949595,0.203477805,0.02434595,0.082787187,0.131584095,0.002859876,0.000339146
32,stego_10026.png,0.169257803,0.155019874,0.236836508,0.187038062,0.043710338,0.050172553,0.144095129,0.001371818,3.49E-05
33,stego_10027.png,0.167631978,0.256707484,0.139846398,0.188061953,0.061050522,0.034204119,0.159306782,0.001448712,8.66E-05
34,stego_10028.png,0.321239581,0.297280515,0.246765277,0.288428457,0.038018084,0.070136903,0.23475666,0.019162438,0.007183691
35,stego_10029.png,0.067629309,0.131152278,0.135001205,0.111260931,0.037835068,0.018748489,0.09428005,0.001500715,0.003104713
36,stego_1003.png,0.244564439,0.299554513,0.184291415,0.242803456,0.057651724,0.055269871,0.198504927,0.008612481,0.002352728
37,stego_10030.png,0.108507931,0.150206168,0.108062946,0.122259015,0.024203967,0.019376785,0.104915148,0.000769562,0.002032644
38,stego_10031.png,0.301381162,0.201747399,0.233131997,0.245420186,0.050940862,0.140684445,0.121882748,0.009105012,0.00079058
39,stego_10032.png,0.357151695,0.219785666,0.330531738,0.3024897,0.072850006,0.263571609,0.052847081,0.023253108,0.00943869
40,stego_10033.png,0.253000708,0.083030068,0.082263533,0.139431436,0.098354621,0.053561218,0.090729818,0.000111695,0.003512955
41,stego_10034.png,0.208921388,0.209555398,0.287360786,0.235279191,0.045105099,0.067364774,0.180042971,0.00727254,0.00090258
42,stego_10035.png,0.183075791,0.127830444,0.148965452,0.153290562,0.027875474,0.040738743,0.117331768,1.08E-05,0.001067213
43,stego_10036.png,0.176439753,0.128435962,0.136231364,0.147035693,0.025761233,0.014797222,0.134224623,8.79E-06,0.000248863
44,stego_10037.png,0.129344654,0.077457138,0.097929768,0.101577187,0.026135346,0.021613537,0.081730126,0.002344769,0.004660776
45,stego_10038.png,0.175630902,0.161479406,0.166708508,0.167939605,0.007155621,0.035143911,0.137632644,0.000321829,0.000152951
46,stego_10039.png,0.263700034,0.159079869,0.23811431,0.220298071,0.054538138,0.061390205,0.169301308,0.004941819,0.00037254
47,stego_1004.png,0.229747975,0.230838261,0.12811495,0.196233729,0.058995112,0.053586363,0.150724123,0.002137558,5.24E-07
48,stego_10040.png,0.096911765,0.142203964,0.145633233,0.128249654,0.027193518,0.025473324,0.105462819,0.000473078,0.001983561
49,stego_10041.png,0.124286653,0.098218957,0.147663064,0.123389558,0.024734258,0.037875751,0.088880211,0.000708116,0.003735629
50,stego_10042.png,0.153902595,0.20761426,0.1987523,0.186756385,0.028795177,0.040548482,0.152386963,0.001351032,5.70E-06
51,stego_10043.png,0.263701136,0.265193051,0.269160634,0.266018274,0.00282175,0.226682728,0.050865986,0.01346024,0.009827553
52,stego_10044.png,0.176967394,0.088000734,0.145211055,0.136726394,0.045086126,0.039619637,0.10111281,0.000176189,0.002389957
53,stego_10045.png,0.307509441,0.156757426,0.188744552,0.217670473,0.079429681,0.127895915,0.102940187,0.004579293,0.002214626
54,stego_10046.png,0.257050377,0.338872416,0.379299501,0.325074098,0.062281676,0.239343644,0.112705893,0.03065094,0.00139085
55,stego_10047.png,0.134648309,0.181135859,0.126559417,0.147447862,0.029453666,0.026109887,0.124591033,6.51E-06,0.000645616
56,stego_10048.png,0.093206524,0.105889666,0.148850473,0.115982221,0.029162596,0.037458949,0.081579141,0.001157209,0.004681414
57,stego_10049.png,0.169537273,0.200709875,0.150273435,0.173506861,0.02545146,0.034135548,0.144296969,0.000552573,3.25E-05
58,stego_1005.png,0.319464891,0.233295082,0.160498368,0.23775278,0.079576958,0.056661335,0.191968645,0.00770055,0.001761367
59,stego_10050.png,0.149199953,0.102231782,0.125231927,0.125554554,0.023485748,0.034518644,0.094290697,0.00059758,0.003103526
60,stego_10051.png,0.217633455,0.080692255,0.108386565,0.135570759,0.072404823,0.043757507,0.096014611,0.000208203,0.002914422
61,stego_10052.png,0.300128766,0.21230916,0.338082782,0.283506903,0.064513299,0.168215536,0.138607261,0.017824093,0.000129794
62,stego_10053.png,0.263055821,0.236532115,0.414500713,0.304696216,0.096013788,0.189124639,0.142526931,0.023930919,5.58E-05
63,stego_10054.png,0.057883898,0.1325404,0.109872988,0.100099096,0.038275907,0.029986215,0.072280293,0.0024901,0.006040353
64,stego_10055.png,0.191283751,0.057765595,0.083787906,0.11094575,0.070780901,0.033781783,0.079861843,0.001525234,0.004919361
65,stego_10056.png,0.140340877,0.108308228,0.105482574,0.118043893,0.019361372,0.007131345,0.111709185,0.001021193,0.001466187
66,stego_10057.png,0.185582761,0.153924406,0.200719622,0.180075596,0.02387875,0.152267181,0.032803278,0.000904541,0.013735072
67,stego_10058.png,0.143035768,0.277463397,0.252798662,0.224432609,0.071562362,0.081351969,0.155751316,0.005540213,3.31E-05
68,stego_10059.png,0.201233243,0.103796727,0.042838711,0.115956227,0.079894287,0.075836764,0.043411663,0.001158978,0.011361074
69,stego_1006.png,0.208315601,0.318059174,0.158703667,0.228359481,0.081546688,0.097727639,0.144780941,0.006140208,2.72E-05
70,stego_10060.png,0.228564297,0.252833878,0.234814552,0.238737576,0.012601417,0.074953539,0.17705493,0.007874357,0.000731969
71,stego_10061.png,0.165382774,0.134182692,0.091659106,0.130408191,0.037006486,0.028168422,0.105203176,0.000383839,0.002006755
72,stego_10062.png,0.103489721,0.136362828,0.128268718,0.122707089,0.017127728,0.022259187,0.102734693,0.000744903,0.002234009
73,stego_10063.png,0.123817861,0.119500387,0.080066343,0.107794864,0.02411044,0.004392613,0.103858461,0.001781274,0.002129042
74,stego_10064.png,0.203663954,0.254517614,0.198242401,0.218807989,0.031044021,0.04079072,0.185587518,0.004734539,0.001266471
75,stego_10065.png,0.28461338,0.224306768,0.219807985,0.242909378,0.036186705,0.184034124,0.072154064,0.008632152,0.00605999
76,stego_10066.png,0.250638198,0.280133806,0.172010604,0.234260869,0.055891139,0.067928523,0.178454497,0.007099894,0.000809658
77,stego_10067.png,0.195208643,0.152206134,0.152237965,0.166550914,0.024818327,0.07866094,0.095393735,0.000273933,0.002981844
78,stego_10068.png,0.188268508,0.172647223,0.138415401,0.166443711,0.025498936,0.060027971,0.113211602,0.000270396,0.001353386
79,stego_10069.png,0.142275127,0.125016486,0.112754299,0.126681971,0.014830718,0.018825024,0.109926312,0.00054373,0.0016059
80,stego_1007.png,0.344666156,0.287488393,0.221357579,0.284504043,0.061708436,0.050214894,0.246675956,0.018091337,0.00934624
81,stego_10070.png,0.123550266,0.094709376,0.119974066,0.112744569,0.015720956,0.016515123,0.097845374,0.001387967,0.002720105
82,stego_10071.png,0.158816264,0.167113198,0.141224666,0.155718043,0.013219427,0.009252051,0.147833757,3.27E-05,4.69E-06
83,stego_10072.png,0.189348771,0.142073233,0.125629422,0.152350475,0.033079528,0.021232527,0.133962307,5.52E-06,0.000257208
84,stego_10073.png,0.134436238,0.150206025,0.136851495,0.140497919,0.008493754,0.026769378,0.116856723,9.03E-05,0.001098477
85,stego_10074.png,0.201090011,0.173414353,0.202690929,0.192398431,0.016460168,0.081043003,0.121175885,0.001797627,0.00083083
86,stego_10075.png,0.159221645,0.124949068,0.108727014,0.130965909,0.025779425,0.013027812,0.119494854,0.000362297,0.000930564
87,stego_10076.png,0.070008995,0.120935863,0.164162178,0.118369012,0.047129046,0.018501027,0.101750474,0.001000519,0.002328017
88,stego_10077.png,0.297701308,0.281223694,0.170969407,0.249964803,0.06890633,0.078675299,0.185916544,0.009992962,0.001289998
89,stego_10078.png,0.100263122,0.09952408,0.076264348,0.092017183,0.013647359,0.01385818,0.079257366,0.003362007,0.00500452
90,stego_10079.png,0.293828586,0.204776042,0.225735829,0.241446819,0.04655873,0.081049318,0.174544188,0.008362521,0.000602417
91,stego_1008.png,0.292666648,0.236004378,0.080215386,0.202962137,0.110012395,0.085330972,0.128605169,0.002804988,0.000457739
92,stego_10080.png,0.278823759,0.233364353,0.386498098,0.29956207,0.078645052,0.17827085,0.147604865,0.022368813,5.74E-06
93,stego_10081.png,0.391291199,0.364902947,0.367456643,0.374550263,0.014554193,0.220758103,0.197361257,0.050422821,0.002243089
94,stego_10082.png,0.291927105,0.242457985,0.246458382,0.260281157,0.027479088,0.054950773,0.217269512,0.012161934,0.004525187
95,stego_10083.png,0.154500553,0.248109323,0.153608909,0.185406262,0.054304274,0.056055048,0.137032582,0.001253603,0.000168154
96,stego_10084.png,0.140353931,0.144445649,0.143129876,0.142643152,0.002088831,0.02657238,0.119239242,5.41E-05,0.000946224
97,stego_10085.png,0.25072861,0.218827729,0.198556183,0.222704174,0.026301343,0.082938374,0.152406116,0.005285897,5.79E-06
98,stego_10086.png,0.227178267,0.223661258,0.171492075,0.207443866,0.031184785,0.035389084,0.178367028,0.003299798,0.000804688
