,image_name,red,green,blue,ml det,stdev,ml0,ml,MSE (ml det),MSE (ml)
0,stego_1.png,0.210749755,0.496116698,0.421730001,0.376198818,0.148031718,0.167399835,0.250779416,0.015926142,6.07E-07
1,stego_10.png,0.32780731,0.104283292,0.119896491,0.183995698,0.124788933,0.099046961,0.094287641,0.004356568,0.024246339
2,stego_100.png,0.404076469,0.251685948,0.223872005,0.293211474,0.097013861,0.05051718,0.25560683,0.001867231,3.14E-05
3,stego_1000.png,0.164480268,0.389842064,0.26695259,0.273758307,0.112834937,0.155792936,0.139735115,0.000564457,0.012158345
4,stego_10000.png,0.392330309,0.44280442,0.376367495,0.403834075,0.034680235,0.200043815,0.254751777,0.023664923,2.26E-05
5,stego_10001.png,0.192788471,0.161927858,0.258400029,0.204372119,0.049268201,0.038554781,0.172466757,0.002081904,0.006011404
6,stego_10002.png,0.258620083,0.215096877,0.229231342,0.2343161,0.022202668,0.050157758,0.193883083,0.000245985,0.003149108
7,stego_10003.png,0.218644265,0.168518164,0.216642471,0.2012683,0.028380105,0.01698973,0.187463525,0.002374779,0.003910811
8,stego_10004.png,0.375709425,0.256654016,0.301935249,0.311432897,0.060093274,0.089206398,0.24399216,0.003774001,3.61E-05
9,stego_10005.png,0.277562134,0.294793454,0.269547306,0.280634298,0.012900413,0.154705879,0.148975861,0.00093846,0.010205877
10,stego_10006.png,0.255114341,0.356787455,0.288258411,0.300053402,0.051852646,0.132152288,0.193468407,0.002505343,0.003195821
11,stego_10007.png,0.182456578,0.201892403,0.16826826,0.184205747,0.016880179,0.011068118,0.175075384,0.004328884,0.005613698
12,stego_10008.png,0.200891898,0.189266354,0.15272714,0.180961797,0.025133349,0.019529769,0.164647557,0.004766273,0.007285039
13,stego_10009.png,0.289695636,0.23745304,0.301431851,0.276193509,0.034059546,0.10036908,0.195440625,0.0006861,0.002976725
14,stego_1001.png,0.235713967,0.267166419,0.214622088,0.239167491,0.026441857,0.045823675,0.202629023,0.000117343,0.00224401
15,stego_10010.png,0.300801924,0.367496841,0.279918682,0.316072482,0.045742496,0.033011589,0.292724184,0.004365573,0.001825356
16,stego_10011.png,0.277227855,0.339143416,0.291627247,0.302666173,0.032400271,0.0454145,0.269490446,0.002773726,0.000379877
17,stego_10012.png,0.237016831,0.250886553,0.266379352,0.251427579,0.014688735,0.024855151,0.232347459,2.04E-06,0.000311612
18,stego_10013.png,0.1803287,0.221477276,0.271705025,0.224503667,0.045763277,0.122135378,0.116610565,0.000650063,0.017792741
19,stego_10014.png,0.285823353,0.179326609,0.223446865,0.229532276,0.053508535,0.05998964,0.180362518,0.000418928,0.004849379
20,stego_10015.png,0.225556679,0.248104793,0.260298588,0.244653354,0.017626241,0.008487828,0.238187218,2.86E-05,0.000139542
21,stego_10016.png,0.200336095,0.292745245,0.246745252,0.246608864,0.046204726,0.029890587,0.223395705,1.15E-05,0.000707788
22,stego_10017.png,0.275124489,0.291971079,0.255377286,0.274157618,0.018316046,0.034696772,0.248068005,0.000583591,3.73E-06
23,stego_10018.png,0.303511116,0.223670027,0.17261586,0.233265668,0.065973095,0.048277342,0.194372094,0.000280038,0.003094464
24,stego_10019.png,0.195305188,0.181589528,0.190622379,0.189172365,0.006971853,0.054241581,0.142669398,0.003700001,0.011519858
25,stego_1002.png,0.211372149,0.192070927,0.178872272,0.194105116,0.016345151,0.01839722,0.179001017,0.003124238,0.005040856
26,stego_10020.png,0.274111692,0.316525754,0.255197649,0.281945032,0.031405494,0.035196917,0.255749716,0.001020485,3.31E-05
