,image_name,Red,Green,Blue,Total
0,stego_1.png,0.03963252,0.261858666,0.340604907,0.214032031
1,stego_10.png,0.341744765,0.14077333,0.165248121,0.215922072
2,stego_100.png,0.108076352,0.229844889,0.109980755,0.149300665
3,stego_1000.png,0.13489987,0.331803784,0.253619195,0.240107616
4,stego_10000.png,0.212517494,0.23593685,0.273577902,0.240677415
5,stego_10001.png,0.215377615,0.206883298,0.141427082,0.187895998
6,stego_10002.png,0.170095544,0.187967758,0.236257956,0.198107086
7,stego_10003.png,0.164439196,0.083591986,0.167604658,0.13854528
8,stego_10004.png,0.254408108,0.273438714,0.257527569,0.261791463
9,stego_10005.png,0.224964366,0.260145931,0.249406759,0.244839018
10,stego_10006.png,0.189662242,0.249136144,0.243224556,0.227340981
11,stego_10007.png,0.167050477,0.139455326,0.124195845,0.143567216
12,stego_10008.png,0.15646958,0.152859221,0.120668882,0.143332561
13,stego_10009.png,0.137434794,0.168932647,0.141033717,0.149133719
14,stego_1001.png,0.155680232,0.104717836,0.14947495,0.136624339
15,stego_10010.png,0.302649039,0.202055578,0.294560136,0.266421584
16,stego_10011.png,0.158049424,0.308234422,0.295826482,0.254036776
17,stego_10012.png,0.224099924,0.241645677,0.233312267,0.23301929
18,stego_10013.png,0.255303393,0.243918674,0.228603188,0.242608418
19,stego_10014.png,0.223411807,0.12874918,0.183418556,0.178526515
20,stego_10015.png,0.235104642,0.196975237,0.205500627,0.212526835
21,stego_10016.png,0.171402092,0.228114589,0.216568097,0.205361593
22,stego_10017.png,0.181361299,0.152360574,0.217499999,0.183740624
23,stego_10018.png,0.097300034,0.088118939,0.092885007,0.092767994
24,stego_10019.png,0.147366281,0.128353771,0.177134486,0.150951513
25,stego_1002.png,0.171509003,0.18096147,0.157761257,0.170077244
26,stego_10020.png,0.21041394,0.232818194,0.166471565,0.203234566
27,stego_10021.png,0.196140301,0.110096872,0.223175054,0.176470742
28,stego_10022.png,0.226655051,0.30636878,0.203992503,0.245672111
29,stego_10023.png,0.405515209,0.34209519,0.395326184,0.380978861
30,stego_10024.png,0.290031608,0.147622969,0.222759303,0.22013796
31,stego_10025.png,0.225845166,0.172866432,0.215673129,0.204794909
32,stego_10026.png,0.297205234,0.313514876,0.274588943,0.295103017
33,stego_10027.png,0.350675587,0.244244931,0.222959792,0.27262677
34,stego_10028.png,0.413309897,0.340931937,0.492550265,0.415597366
35,stego_10029.png,0.159138861,0.253683152,0.156806923,0.189876312
36,stego_1003.png,0.237404268,0.263706928,0.272499336,0.257870177
37,stego_10030.png,0.127226115,0.158245101,0.120388065,0.135286427
38,stego_10031.png,0.267473836,0.266138885,0.135306212,0.222972978
39,stego_10032.png,0.439475066,0.05742134,0.276739824,0.257878743
40,stego_10033.png,0.305109766,0.055051966,0.32074216,0.226967964
41,stego_10034.png,0.200943134,0.191033572,0.206654873,0.19954386
42,stego_10035.png,0.21383042,0.144220806,0.139411082,0.16582077
43,stego_10036.png,0.184338536,0.115276184,0.133004051,0.144206257
44,stego_10037.png,0.096694508,0.236174166,0.187681845,0.173516839
45,stego_10038.png,0.218361757,0.163914985,0.272184728,0.218153823
46,stego_10039.png,0.336779946,0.244064706,0.317329077,0.299391243
47,stego_1004.png,0.331218126,0.277606091,0.287953672,0.298925963
48,stego_10040.png,0.159953731,0.15208899,0.121111812,0.144384845
49,stego_10041.png,0.145122903,0.134525523,0.226566572,0.168738333
50,stego_10042.png,0.226435176,0.205279123,0.26015321,0.230622503
51,stego_10043.png,0.340249862,0.360035437,0.279813639,0.326699646
52,stego_10044.png,0.205380523,0.166715243,0.19876319,0.190286319
53,stego_10045.png,0.412274718,0.148674348,0.001532602,0.18749389
54,stego_10046.png,0.218641573,0.280801762,0.221930203,0.240457846
55,stego_10047.png,0.220222104,0.228432951,0.199622421,0.216092492
56,stego_10048.png,0.182990914,0.111704854,0.098697669,0.131131146
57,stego_10049.png,0.232511523,0.2229463,0.247950382,0.234469402
58,stego_1005.png,0.367682228,0.26231161,0.378200658,0.336064832
59,stego_10050.png,0.145630631,0.241380356,0.163272835,0.183427941
60,stego_10051.png,0.158947262,0.159495488,0.1076875,0.142043417
61,stego_10052.png,0.33773748,0.119682969,0.351552162,0.269657537
62,stego_10053.png,0.172640593,0.085437392,0.347778016,0.201952
63,stego_10054.png,0.161320869,0.151050951,0.148262195,0.153544671
64,stego_10055.png,0.176389498,0.216157854,0.154426976,0.182324776
65,stego_10056.png,0.206079667,0.23518305,0.163629587,0.201630768
66,stego_10057.png,0.193062675,0.115686399,0.071040333,0.126596469
67,stego_10058.png,0.03941565,0.127530729,0.348995525,0.171980634
68,stego_10059.png,0.025721505,0.128624584,0.071232888,0.075192992
69,stego_1006.png,0.299574461,0.284556842,0.300428192,0.294853165
70,stego_10060.png,0.262959701,0.267612687,0.240721077,0.257097822
71,stego_10061.png,0.189082707,0.171560048,0.191125047,0.183922601
72,stego_10062.png,0.221448586,0.147239804,0.225765499,0.198151296
73,stego_10063.png,0.148212049,0.143187082,0.097630318,0.129676483
74,stego_10064.png,0.173345759,0.240679516,0.245858815,0.219961363
75,stego_10065.png,0.304079144,0.254254072,0.333078077,0.297137098
76,stego_10066.png,0.280671971,0.260701185,0.279504657,0.273625938
77,stego_10067.png,0.187799129,0.160291296,0.152997882,0.167029436
78,stego_10068.png,0.163195439,0.210708273,0.216369495,0.196757736
79,stego_10069.png,0.261567826,0.222853639,0.270188119,0.251536528
80,stego_1007.png,0.388280031,0.306865845,0.355158863,0.350101579
81,stego_10070.png,0.167817323,0.176376303,0.182900123,0.175697916
82,stego_10071.png,0.251438009,0.276265922,0.262387066,0.263363666
83,stego_10072.png,0.206171685,0.17604432,0.202187829,0.194801278
84,stego_10073.png,0.147589253,0.138303757,0.157515491,0.147802834
85,stego_10074.png,0.142929759,0.041668392,0.268891471,0.151163207
86,stego_10075.png,0.204220406,0.196088016,0.178560528,0.192956317
87,stego_10076.png,0.20986474,0.124827695,0.189305228,0.174665888
88,stego_10077.png,0.284834476,0.394121693,0.295010203,0.324655457
89,stego_10078.png,0.134631968,0.117902532,0.133304076,0.128612859
90,stego_10079.png,0.297909268,0.265830572,0.25887267,0.27420417
91,stego_1008.png,0.266588735,0.274911488,0.305586487,0.282362237
92,stego_10080.png,0.379585188,0.295305229,0.245259785,0.306716734
93,stego_10081.png,0.278100479,0.314955548,0.233026483,0.275360837
94,stego_10082.png,0.379359753,0.346061328,0.332611952,0.352677678
