,image_name,red,green,blue,ml det,ml0,ml,MSE (ml det),MSE (ml),stdev,STDEV
0,stego_1.png,0.237643559,0.254724447,0.207783118,0.233383708,0.093521331,0.154291967,0.017791214,0.002947618,0.023758827,0.074276298
1,stego_10.png,0.019809549,0.170939324,0.192904399,0.127884424,0.097983605,0.033148864,0.000777541,0.004469074,0.094237732,
2,stego_100.png,0.023221928,0.102798975,0.016314508,0.047445137,0.069233168,-0.023408689,0.002762014,0.015229704,0.048062081,
3,stego_1000.png,0.175017175,0.3575004,0.24538417,0.259300582,0.182965941,0.093428958,0.025376675,4.32E-05,0.092034134,
4,stego_10000.png,0.386102623,0.3069325,0.323158848,0.338731323,0.277294383,0.085009634,0.056992645,0.000224711,0.041819297,
5,stego_10001.png,0.189228565,0.046388722,0.148580383,0.12806589,0.075863068,0.056488189,0.000787694,0.001893278,0.073596457,
6,stego_10002.png,0.112688585,0.147254586,0.097312797,0.119085323,0.02075285,0.100416399,0.00036425,1.73E-07,0.025578003,
7,stego_10003.png,0.16359913,0.074003492,0.122990818,0.120197813,0.052254605,0.071689304,0.000407952,0.000801495,0.044863072,
8,stego_10004.png,0.352675701,0.211702999,0.283344055,0.282574252,0.137387433,0.168310577,0.033333357,0.004666335,0.070489504,
9,stego_10005.png,0.261127247,0.296929747,0.261081871,0.273046288,0.204188907,0.086524782,0.029945018,0.000181582,0.020683694,
10,stego_10006.png,0.135128265,0.283267344,0.195136746,0.204510785,0.108593545,0.107602138,0.010922504,5.78E-05,0.074513094,
11,stego_10007.png,0.115387694,0.13075166,0.120368711,0.122169355,0.004181286,0.118483482,0.00049148,0.000341639,0.007838661,
12,stego_10008.png,0.108518649,0.096744092,0.066488058,0.0905836,0.017756885,0.074143268,8.87E-05,0.000668571,0.021681937,
13,stego_10009.png,0.13986097,0.224212285,0.058729244,0.140934166,0.0579939,0.088046421,0.001675606,0.000142888,0.08274674,
14,stego_1001.png,0.107764666,0.109884254,0.101279329,0.106309417,0.021006318,0.087133452,3.98E-05,0.000165548,0.004483246,
15,stego_10010.png,0.206143602,0.192198468,0.173116443,0.190486171,0.02147101,0.172723714,0.008187747,0.005288739,0.016580026,
16,stego_10011.png,0.182450103,0.099902535,0.201199905,0.161184181,0.02992038,0.135312399,0.003743504,0.001246966,0.053893125,
17,stego_10012.png,0.078121402,0.16058486,0.123202975,0.120636412,0.0232161,0.099735788,0.000425862,6.98E-08,0.041291596,
18,stego_10013.png,0.226664125,0.232931701,0.249938223,0.236511349,0.117483514,0.134873214,0.018635348,0.001216141,0.012042895,
19,stego_10014.png,0.145449694,0.106442285,0.137318367,0.129736782,0.026517879,0.10603061,0.000884276,3.64E-05,0.020579233,
20,stego_10015.png,0.084895358,0.111156551,0.112147568,0.102733159,0.013772953,0.090202562,7.47E-06,9.60E-05,0.015455934,
21,stego_10016.png,0.14223355,0.247933884,0.088340447,0.159502627,0.050815607,0.114505696,0.003540563,0.000210415,0.081186095,
22,stego_10017.png,0.218087448,0.132214626,0.170817885,0.173706653,0.060617619,0.120386582,0.005432671,0.000415613,0.043009233,
23,stego_10018.png,0.117721771,0.093578834,0.158767178,0.123355928,0.025376085,0.100530924,0.000545499,2.82E-07,0.032957364,
24,stego_10019.png,0.128730229,0.101501527,0.136099472,0.122110409,0.062533523,0.063550951,0.00048887,0.001328533,0.018224186,
25,stego_1002.png,0.08401397,0.097458424,0.086489855,0.08932075,0.005629139,0.08416539,0.000114046,0.000250735,0.007155334,
26,stego_10020.png,0.121422337,0.150438374,0.078040872,0.116633861,0.02125438,0.097450736,0.000276685,6.50E-06,0.036435514,
27,stego_10021.png,0.141399466,0.188986188,0.206793823,0.179059826,0.047247636,0.138348846,0.006250456,0.001470634,0.033808357,
28,stego_10022.png,0.124326179,0.229977971,0.076023793,0.143442648,0.047498284,0.10072881,0.001887264,5.31E-07,0.078737232,
29,stego_10023.png,0.342629248,0.345436975,0.242541904,0.310202709,0.087780577,0.243825253,0.044185179,0.020685704,0.058612791,
30,stego_10024.png,0.188467041,0.18438732,0.195442836,0.189432399,0.064898403,0.133176969,0.007998154,0.001100711,0.005590621,
31,stego_10025.png,0.191144714,0.185549084,0.060900403,0.145864733,0.113900381,0.036073091,0.002103574,0.00408665,0.073634441,
32,stego_10026.png,0.266805388,0.233774506,0.254787019,0.251788971,0.022512108,0.234557241,0.023039892,0.018105651,0.016718284,
33,stego_10027.png,0.17886378,0.099054317,0.138289446,0.138735848,0.041551361,0.101397699,0.001500466,1.95E-06,0.039906604,
34,stego_10028.png,0.36526386,0.356115887,0.358601259,0.359993669,0.025199736,0.343448751,0.067596708,0.059267294,0.00473027,
35,stego_10029.png,0.074245418,0.157621424,0.122330872,0.118065905,0.0201385,0.099940048,0.000326377,3.59E-09,0.041851309,
36,stego_1003.png,0.222652337,0.230931696,0.178523304,0.210702446,0.036387965,0.180896953,0.012255032,0.006544317,0.028173743,
37,stego_10030.png,0.024370601,0.088367083,0.075795407,0.062844364,0.019452534,0.044252656,0.001380541,0.003107766,0.033906999,
38,stego_10031.png,0.205823495,0.126441302,0.152991923,0.16175224,0.112186328,0.055829183,0.003813339,0.001951061,0.040409659,
39,stego_10032.png,0.280092338,0.225328937,0.256586628,0.254002634,0.190039473,0.078970714,0.023716811,0.000442231,0.027472992,
40,stego_10033.png,0.11993904,0.082532063,0.158821589,0.120430897,0.043907838,0.080037325,0.000417422,0.000398508,0.038147141,
41,stego_10034.png,0.109846605,0.102871274,0.088876672,0.100531517,0.008212614,0.093083361,2.83E-07,4.78E-05,0.010678969,
42,stego_10035.png,0.178156331,0.123297336,0.122078498,0.141177388,0.045085582,0.10062871,0.001695577,3.95E-07,0.032030502,
43,stego_10036.png,0.167309666,0.052163835,0.071651973,0.097041825,0.033583007,0.065664013,8.75E-06,0.00117896,0.061628922,
44,stego_10037.png,0.014984961,0.05246128,0.103361061,0.056935767,0.070152501,-0.014213873,0.001854528,0.013044809,0.044357632,
45,stego_10038.png,0.109232647,0.148809957,0.100799303,0.119613969,0.033649479,0.088957876,0.000384708,0.000121928,0.025633662,
46,stego_10039.png,0.246379556,0.198632199,0.187405544,0.210805766,0.04513129,0.17350498,0.012277918,0.005402982,0.031315018,
47,stego_1004.png,0.206270974,0.238321258,0.170137917,0.20491005,0.042310515,0.169783147,0.011006119,0.004869688,0.034112037,
48,stego_10040.png,0.110068625,0.100384112,0.089772978,0.100075238,0.018222894,0.083371616,5.66E-09,0.000276503,0.010151348,
49,stego_10041.png,0.141502892,0.105081863,0.101960709,0.116181821,0.081953624,0.037283734,0.000261851,0.00393333,0.02198415,
50,stego_10042.png,0.193356002,0.253318771,0.209559843,0.218744872,0.018485216,0.204031217,0.014100345,0.010822494,0.031018655,
51,stego_10043.png,0.359284837,0.263661819,0.316479215,0.313141957,0.222401078,0.116693679,0.045429494,0.000278679,0.047898782,
52,stego_10044.png,0.125223932,0.003097755,0.125425232,0.084582307,0.072125863,0.013424713,0.000237705,0.00749528,0.070567763,
53,stego_10045.png,0.101989019,0.092164387,0.189037709,0.127730372,0.088759668,0.042766658,0.000768974,0.003275655,0.053320475,
54,stego_10046.png,0.213359004,0.344110932,0.327046208,0.294838714,0.241017457,0.070912378,0.037962124,0.00084609,0.071077483,
55,stego_10047.png,0.178582033,0.131386861,0.105598508,0.138522467,0.019991854,0.1209486,0.00148398,0.000438844,0.037011301,
56,stego_10048.png,0.078255579,0.160129811,0.05414873,0.097511373,0.037019425,0.062817412,6.19E-06,0.001382545,0.055552557,
57,stego_10049.png,0.164965814,0.245394527,0.184425426,0.198261922,0.067379704,0.140338162,0.009655405,0.001627167,0.04196166,
58,stego_1005.png,0.207719615,0.310002883,0.249270102,0.2556642,0.041785224,0.223205675,0.024231343,0.015179638,0.051440549,
59,stego_10050.png,0.002800297,0.039557474,0.062153169,0.03483698,0.043143775,-0.008681341,0.004246219,0.011811634,0.029956688,
60,stego_10051.png,0.039070133,0.094372779,0.082359231,0.071934047,0.018262786,0.054669682,0.000787698,0.002054838,0.029087953,
61,stego_10052.png,0.121290424,0.243474222,0.223504796,0.196089814,0.133378922,0.072362528,0.009233252,0.00076383,0.065543162,
62,stego_10053.png,0.20283338,0.274851853,0.379185722,0.285623652,0.186405011,0.1219509,0.03445614,0.000481842,0.088668263,
63,stego_10054.png,0.068840447,0.156618748,0.087835329,0.104431508,0.027368785,0.079231184,1.96E-05,0.000431344,0.046182598,
64,stego_10055.png,0.109062972,0.165615486,0.022181622,0.09895336,0.057461699,0.044021194,1.10E-06,0.003133627,0.07224937,
65,stego_10056.png,0.095014525,0.103269455,0.08740238,0.095228787,0.010836252,0.085317052,2.28E-05,0.000215589,0.007935707,
66,stego_10057.png,0.236602019,0.086750962,0.104503219,0.142618733,0.101630735,0.045624889,0.001816356,0.002956653,0.081874472,
67,stego_10058.png,0.084073769,0.241115485,0.219715759,0.181635004,0.07734882,0.113028831,0.006664274,0.00016975,0.085165328,
68,stego_10059.png,0.025571718,0.128925698,0.064834447,0.073110621,0.004095645,0.069298799,0.000723039,0.000942564,0.052171665,
